ods_code,care,numtreat_total,numtreat_less62days,numtreat_more62days,percenttreat_62days,wait_within31,wait_32to38,wait_39to48,wait_49to62,wait_63to76,wait_77to90,wait_91to104,wait_104plus,observed_deaths,expected_deaths,shmi_ind,patient_admissions,beds_day,beds_night,_Chemical_pathology,_Clinical_oncology,_Clinical_radiology,_General_pathology,_Haematology,_Histopathology,_Medical_oncology,hee_region_code,_admin_supp_DNM,_admin_supp_STT,_management_staff,_nursing_staff,_stt_staff,ytd_plan,ytd_actual,hospitalN,rating_Q12,rating_Q16,rating_Q17,rating_Q25,rating_Q31,rating_Q55,rating_Q56,rating_Q59,rating_Q6,planactual_diff,ytd_plan_miss,deficit,regions,nhs_trust,oncology_staff,cat_numtreat_total,cat_patient_admissions,cat_beds_day,cat_beds_night,cat__Chemical_pathology,cat__Clinical_oncology,cat__Clinical_radiology,cat__General_pathology,cat__Haematology,cat__Histopathology,cat__Medical_oncology,cat__admin_supp_DNM,cat__admin_supp_STT,cat__management_staff,cat__nursing_staff,cat__stt_staff,cat_oncology_staff
RAL,ALL CARE,474,392.5,81.5,.8281000000000001,132,64,55.5,141,26,19.5,16.5,19.5,324,376.2879,Lower than expected,18297,122.3111111111111,953.8777777777777,0,0,63.652271,0,30.62698,32.968178,0,YDF28,1857.2902,243.41759,10.65333,2157.458,222.80614,15500,-44239,6,Performed better than expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,28739,Did not financially perform as expected,In deficit, North Central and East London,ROYAL FREE LONDON NHS FOUNDATION TRUST,127.24743,Much higher than average,Much higher than average,Much higher than average,Much higher than average,None,None,Much higher than average,None,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,Slightly lower than average,Much higher than average,Much higher than average,Much higher than average
RAP,ALL CARE,95.5,82.5,13,.8639,13.5,11,13.5,44.5,4,2.5,1.5,5,286,264.01169,Above expected,5866,13.72222222222222,497.7888888888889,0,17.4,0,0,11.4,0,0,YDF28,609.69659,31.94252,11,745.51483,78.260002,14100,-10464,1,Performed better than expected,Performed better than expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed better than expected,Performed better than expected,Performed as expected,3636,Did not financially perform as expected,In deficit, North Central and East London,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,28.799999,Much lower than average,Slightly lower than average,Much lower than average,Slightly lower than average,None,Much higher than average,None,None,Much higher than average,None,None,Slightly lower than average,Much lower than average,Slightly lower than average,Slightly lower than average,Slightly lower than average,Slightly lower than average
RAS,ALL CARE,134,121.5,12.5,.9067000000000001,40.5,16.5,32.5,32,5,3.5,1,3,87,80.068802,Above expected,5724,93.16666666666667,450.7555555555555,0,0,14.67,0,7.033,0,0,YDF26,508.49063,64.272438,12.8,604.55334,61.80872,5061,5993,2,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,932,Performed better or as expected financially,Not in deficit, North West London,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,21.702999,Much lower than average,Slightly lower than average,Slightly higher than average,Slightly lower than average,None,None,Slightly lower than average,None,Slightly higher than average,None,None,Much lower than average,Slightly lower than average,Slightly lower than average,Much lower than average,Much lower than average,Slightly lower than average
RAX,ALL CARE,157.5,148,9.5,.9397,78,14.5,26,29.5,2,4,1,2.5,78,92.083199,Lower than expected,5018,60,419.3222222222222,0,0,17.85,0,0,0,0,YDF27,608.75403,64.631737,18.76667,607.07764,59.043732,4200,-3458,1,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,742,Did not financially perform as expected,In deficit, South London,KINGSTON HOSPITAL NHS FOUNDATION TRUST,17.85,Slightly lower than average,Slightly lower than average,Slightly lower than average,Much lower than average,None,None,Slightly lower than average,None,None,None,None,Slightly lower than average,Slightly lower than average,Slightly higher than average,Slightly lower than average,Much lower than average,Much lower than average
RBA,ALL CARE,221.5,173.5,48,.7833,51,29,51.5,42,12.5,18.5,7,10,211,206.5547,Above expected,7516,84.66666666666667,471,0,7.3125,16,0,6.9000001,8.4499998,5.6100001,YDF33,952.12085,68.133362,8.6000004,852.7088,102.83,-1059,687,1,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed worse than expected,Performed worse than expected,Performed worse than expected,Performed as expected,372,Performed better or as expected financially,Not in deficit, South West,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,44.272499,Slightly higher than average,Slightly lower than average,Slightly higher than average,Slightly lower than average,None,Slightly higher than average,Slightly lower than average,None,Slightly higher than average,Slightly higher than average,Much higher than average,Slightly higher than average,Slightly lower than average,Slightly lower than average,Slightly lower than average,Slightly higher than average,Slightly higher than average
RBD,ALL CARE,170,147,23,.8647,56.5,20,24.5,46,6.5,11,2.5,3,83,77.205498,Above expected,6474,43.57777777777778,301.2111111111111,0,0,11.45,0,0,0,0,YDF24,585.06451,19.977341,13,480.37152,53.74667,-1800,-1107,1,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,693,Performed better or as expected financially,In deficit, Wessex,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,11.45,Slightly lower than average,Slightly lower than average,Slightly lower than average,Much lower than average,None,None,Much lower than average,None,None,None,None,Much lower than average,Much lower than average,Slightly lower than average,Much lower than average,Much lower than average,Much lower than average
RBK,ALL CARE,106,92.5,13.5,.8726,29.5,7.5,15,40.5,2,5,4,2.5,105,95.618599,Above expected,4228,42.93333333333333,499.8888888888889,-99,-99,-99,-99,-99,-99,-99,,831.08948,116.45121,16.4,581.45331,58.525681,-6136,-21392,1,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,15256,Did not financially perform as expected,In deficit,,WALSALL HEALTHCARE NHS TRUST,,Much lower than average,Much lower than average,Slightly lower than average,Slightly lower than average,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Slightly lower than average,Slightly higher than average,Slightly lower than average,Much lower than average,Much lower than average,None
RBL,ALL CARE,241.5,207.5,34,.8592,83.5,25.5,34.5,64,8.5,7,6.5,12,233,212.01021,Above expected,9600,42.44444444444444,731.1444444444444,0,0,26.25,0,0,0,0,YDF31,1277.182,71.333611,13.933331,1150.467,103.81987,328,-10475,3,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,10147,Did not financially perform as expected,In deficit, North West,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,26.25,Slightly higher than average,Slightly higher than average,Slightly lower than average,Slightly higher than average,None,None,Slightly higher than average,None,None,None,None,Slightly higher than average,Slightly lower than average,Slightly lower than average,Slightly higher than average,Slightly higher than average,Slightly lower than average
RBN,ALL CARE,216.5,192.5,24,.8891,86.5,21.5,38,46.5,7,7,5,5,170,169.6942,As expected,11715,49.44444444444444,680.8,0,0,21.900002,0,7.90909,0,0,YDF31,1070.9142,60.403271,12.15,1125.3379,103.73909,3328,4861,2,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,1533,Performed better or as expected financially,Not in deficit, North West,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,29.809092,Slightly higher than average,Much higher than average,Slightly lower than average,Slightly higher than average,None,None,Slightly higher than average,None,Slightly higher than average,None,None,Slightly higher than average,Slightly lower than average,Slightly lower than average,Slightly higher than average,Slightly higher than average,Slightly lower than average
RBT,ALL CARE,153,142.5,10.5,.9314,62,22.5,30,28,4.5,2,.5,3.5,188,137.953,Above expected,7940,31.41111111111111,546,0,0,11.8,0,0,0,0,YDF31,908.7475,72.195152,19.799999,692.97821,60.762131,-691,1408,3,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,717,Performed better or as expected financially,Not in deficit, North West,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,11.8,Slightly lower than average,Slightly lower than average,Much lower than average,Slightly lower than average,None,None,Much lower than average,None,None,None,None,Slightly lower than average,Slightly lower than average,Slightly higher than average,Slightly lower than average,Much lower than average,Much lower than average
RBZ,ALL CARE,141,124,17,.8794,53,21.5,24,25.5,5,8,2.5,1.5,153,133.50371,Above expected,2970,41.62222222222222,269.7777777777778,0,1.65,5.2399998,0,3.625,0,0,YDF33,529.21808,50.310692,19.5,453.58203,35.199982,1400,2232,18,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed worse than expected,Performed as expected,Performed worse than expected,832,Performed better or as expected financially,Not in deficit, South West,NORTHERN DEVON HEALTHCARE NHS TRUST,10.514999,Slightly lower than average,Much lower than average,Slightly lower than average,Much lower than average,None,Slightly higher than average,Much lower than average,None,Slightly lower than average,None,None,Much lower than average,Much lower than average,Slightly higher than average,Much lower than average,Much lower than average,Much lower than average
RC1,ALL CARE,150.5,125,25.5,.8306,49,22.5,15,38.5,10,9.5,3,3,76,66.231903,Above expected,6698,27.11111111111111,384,0,0,0,0,3.75,0,0,YDF22,501.11014,47.258198,11.58667,610.53302,49.42934,-10200,-8300,1,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,1900,Performed better or as expected financially,In deficit, East of England,BEDFORD HOSPITAL NHS TRUST,3.75,Slightly lower than average,Slightly lower than average,Much lower than average,Much lower than average,None,None,None,None,Slightly lower than average,None,None,Much lower than average,Much lower than average,Slightly lower than average,Slightly lower than average,Much lower than average,Much lower than average
RC9,ALL CARE,181,162.5,18.5,.8978,58.5,23.5,34.5,46,1.5,4.5,5,7.5,177,162.1142,Above expected,8112,57.61111111111111,615.5111111111111,0,0,21.099998,0,0,7.7020001,0,YDF22,723.82385,70.659988,27.639999,767.40247,85.746651,11817,12885,1,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,1068,Performed better or as expected financially,Not in deficit, East of England,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,28.801998,Slightly lower than average,Slightly higher than average,Slightly lower than average,Slightly lower than average,None,None,Slightly higher than average,None,None,Slightly higher than average,None,Slightly lower than average,Slightly lower than average,Slightly higher than average,Slightly lower than average,Slightly lower than average,Slightly lower than average
RCB,ALL CARE,385.5,314.5,71,.8158,106,51,69.5,88,22.5,21.5,17,10,449,405.86389,Above expected,10508,211.2333333333333,1017.111111111111,0,0,25.200001,0,0,9.6000004,0,YDF23,1602.8423,161.54321,23.031469,1404.7177,162.99252,10072,1614,9,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed worse than expected,8458,Did not financially perform as expected,Not in deficit, Yorkshire and the Humber,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,34.800003,Much higher than average,Slightly higher than average,Much higher than average,Much higher than average,None,None,Slightly higher than average,None,None,Slightly higher than average,None,Much higher than average,Much higher than average,Slightly higher than average,Much higher than average,Slightly higher than average,Slightly lower than average
RCD,ALL CARE,153,137.5,15.5,.8987000000000001,65,21.5,16,35,5.5,3,3,4,77,94.1334,Lower than expected,5789,25,319.1333333333333,0,0,9.75,0,5.1500001,5.8920002,0,YDF23,653.51953,53.627739,0,506.91959,58.490662,6895,3589,2,Performed as expected,Performed worse than expected,Performed worse than expected,Performed as expected,Performed as expected,Performed worse than expected,Performed worse than expected,Performed worse than expected,Performed worse than expected,3306,Did not financially perform as expected,Not in deficit, Yorkshire and the Humber,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,20.792,Slightly lower than average,Slightly lower than average,Much lower than average,Much lower than average,None,None,Much lower than average,None,Slightly higher than average,Slightly higher than average,None,Slightly lower than average,Slightly lower than average,None,Much lower than average,Much lower than average,Slightly lower than average
RCF,ALL CARE,124,112,12,.9031999999999999,46.5,19,18,28.5,4.5,2.5,3,2,139,122.559,Above expected,2264,51.08888888888889,351.5444444444444,0,0,8.6999998,0,0,2.8,3.9000001,YDF23,541.32428,45.033329,12.4,465.94006,49.316521,5591,6193,3,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,602,Performed better or as expected financially,Not in deficit, Yorkshire and the Humber,AIREDALE NHS FOUNDATION TRUST,15.4,Much lower than average,Much lower than average,Slightly lower than average,Much lower than average,None,None,Much lower than average,None,None,Slightly higher than average,Much higher than average,Much lower than average,Much lower than average,Slightly lower than average,Much lower than average,Much lower than average,Much lower than average
RD1,ALL CARE,261,224.5,36.5,.8602,95.5,28,41,60,19,9.5,4.5,3.5,242,240.7437,Above expected,6121,59.06666666666667,646.0777777777778,0,14.65,19.75909,8.75,0,0,0,YDF33,936.37396,81.469353,7.6008,952.71307,113.22827,10136,11787,2,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,1651,Performed better or as expected financially,Not in deficit, South West,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,43.159088,Slightly higher than average,Slightly lower than average,Slightly lower than average,Slightly higher than average,None,Slightly higher than average,Slightly higher than average,Much higher than average,None,None,None,Slightly lower than average,Slightly lower than average,Slightly lower than average,Slightly higher than average,Slightly higher than average,Slightly higher than average
RD3,ALL CARE,209,182.5,26.5,.8732,80.5,21.5,27,53.5,8,7,6,5.5,359,377.55209,Lower than expected,4025,91.21111111111111,514.2666666666667,.89999998,15.6,15.9375,0,0,7.9000001,4.5500002,YDF24,793.74542,77.829468,25.24,727.88605,149.94533,-800,945,1,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed worse than expected,145,Performed better or as expected financially,Not in deficit, Wessex,POOLE HOSPITAL NHS FOUNDATION TRUST,44.887501,Slightly lower than average,Much lower than average,Slightly higher than average,Slightly lower than average,Much higher than average,Much higher than average,Slightly lower than average,None,None,Slightly higher than average,Much higher than average,Slightly lower than average,Slightly lower than average,Slightly higher than average,Slightly lower than average,Slightly higher than average,Slightly higher than average
RD8,ALL CARE,163,148,15,.9079999999999999,65.5,17,31,34.5,6,4,3,2,140,127.4498,Above expected,4775,80.75555555555556,436.4888888888889,0,0,0,8.8500004,6.1999998,0,0,YDF25,584.59821,90.326393,24.4,596.15503,61.148537,-25014,-19977,1,Performed as expected,Performed better than expected,Performed better than expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,5037,Performed better or as expected financially,In deficit, Thames Valley,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,15.05,Slightly lower than average,Slightly lower than average,Slightly higher than average,Slightly lower than average,None,None,None,Much higher than average,Slightly higher than average,None,None,Much lower than average,Slightly higher than average,Slightly higher than average,Much lower than average,Much lower than average,Much lower than average
RDD,ALL CARE,241.5,159.5,82,.6605,65.5,17,29.5,47.5,25.5,20.5,14,22,264,211.5545,Above expected,6746,67.31111111111112,637,0,0,24.5,0,0,0,0,YDF22,985.05231,115.80001,16.933331,989.35583,78.692978,-15443,-13698,2,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,1745,Performed better or as expected financially,In deficit, East of England,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,24.5,Slightly higher than average,Slightly lower than average,Slightly lower than average,Slightly lower than average,None,None,Slightly higher than average,None,None,None,None,Slightly higher than average,Slightly higher than average,Slightly lower than average,Slightly higher than average,Slightly lower than average,Slightly lower than average
RDE,ALL CARE,351,244,107,.6951999999999999,89.5,44.5,48.5,61.5,39,26.5,15.5,26,285,237.5493,Above expected,7921,91.32222222222222,585.6111111111111,0,0,17.175001,0,0,0,19.700001,YDF22,783.74982,128.28586,24.6,846.19586,135.10773,-31707,-18494,2,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,13213,Performed better or as expected financially,In deficit, East of England,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,36.875,Much higher than average,Slightly lower than average,Slightly higher than average,Slightly lower than average,None,None,Slightly lower than average,None,None,None,Much higher than average,Slightly lower than average,Much higher than average,Slightly higher than average,Slightly lower than average,Slightly higher than average,Slightly higher than average
RDU,ALL CARE,396.5,354,42.5,.8928,137.5,43.5,71,102,13.5,9,7.5,12.5,362,399.5397,Lower than expected,14083,110.6888888888889,1318.977777777778,0,0,40.584087,0,10.50909,17.799999,0,YDF29,1878.4447,159.46425,32.73333,1812.7585,122.55145,23472,25554,7,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,2082,Performed better or as expected financially,Not in deficit," Kent, Surrey and Sussex",FRIMLEY HEALTH NHS FOUNDATION TRUST,68.893173,Much higher than average,Much higher than average,Slightly higher than average,Much higher than average,None,None,Much higher than average,None,Slightly higher than average,Much higher than average,None,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Slightly higher than average,Slightly higher than average
RDZ,ALL CARE,316,270.5,45.5,.856,112.5,37.5,58,62.5,11.5,18.5,11,4.5,525,375.81628,Above expected,10790,153.3666666666667,572.2555555555556,0,0,16.4,1.3,9.9750004,0,0,YDF24,936.52563,87.024544,10.853331,1059.7123,77.901871,-1223,1924,3,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,701,Performed better or as expected financially,Not in deficit, Wessex,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,27.674999,Slightly higher than average,Slightly higher than average,Much higher than average,Slightly lower than average,None,None,Slightly lower than average,Much higher than average,Slightly higher than average,None,None,Slightly lower than average,Slightly higher than average,Slightly lower than average,Slightly higher than average,Slightly lower than average,Slightly lower than average
RE9,ALL CARE,43,41,2,.9534999999999999,13,5,6.5,16.5,1.5,.5,0,0,232,102.7866,Above expected,2994,52,311.5888888888889,0,0,0,0,0,0,0,YDF30,548.74457,49.300041,23.6,393.18668,39.034351,-2918,1318,4,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,1600,Performed better or as expected financially,Not in deficit, North East,SOUTH TYNESIDE NHS FOUNDATION TRUST,0,Much lower than average,Much lower than average,Slightly lower than average,Much lower than average,None,None,None,None,None,None,None,Much lower than average,Much lower than average,Slightly higher than average,Much lower than average,Much lower than average,None
